kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
グラム当量;グラムとうりょう;gram equivalent;n;0;;;;;;;;;;;
来る;くる;to come;vk, vi;5;The king is coming.;<ruby>王<rt>おう</rt></ruby>が<ruby>来<rt>く</rt></ruby>る。;to come (spatially or temporally), to approach, to arrive;vk, vi;to come back, to do ... and come back;vk, vi, aux-v;to come to be, to become, to get, to grow, to continue;vk, vi, aux-v;鴨が葱を背負って来る;ツケが回ってくる;よって来たる
鴨が葱を背負って来る;かもがねぎをしょってくる;along comes a sucker just begging to be parted from his money;exp, vk;0;;;;;;;;;;;
ツケが回ってくる;つけがまわってくる;you'll have to pay for it;exp, vk;0;;;;;;;;;;;
よって来たる;よってきたる;originating;exp, adj-f;0;;;;;;;;;;;
車;くるま;car, vehicle;n;5;No parking!;<ruby>駐車禁止<rt>ちゅうしゃきんし</rt></ruby>！;car, automobile, vehicle;n;wheel, castor, caster;n;;;車海老;車両;車麩
車海老;くるまえび;kuruma prawn (Marsupenaeus japonicus);n;0;;;;;;;;;;;
車両;しゃりょう;(wheeled) vehicle;n;0;;;;;;;;;;;
車麩;くるまぶ;yaki-fu (baked wheat gluten) cut in ring-shaped slices (Niigata specialty);n;0;;;;;;;;;;;
黒;くろ;black;n, adj-no;5;Do you like black cats?;<ruby>黒猫<rt>くろねこ</rt></ruby>は<ruby>好<rt>す</rt></ruby>き？;black;n, adj-no;black stone;n;guilt, guilty person;n;黒ずくめ;黒太刀魳;黒んぼ
黒ずくめ;くろずくめ;completely black;n;0;;;;;;;;;;;
黒太刀魳;くろたちかます;snake mackerel (Gempylus serpens);n;0;;;;;;;;;;;
黒んぼ;くろんぼ;black person;n;0;;;;;;;;;;;
黒い;くろい;black, dark;adj-i;5;Which dog is black?;どの<ruby>犬<rt>いぬ</rt></ruby>が<ruby>黒<rt>くろ</rt></ruby>い？;black;adj-i;dark, blackish, sun-tanned (skin);adj-i;suspicious, criminal, illicit;adj-i;黒い九月;頭の黒いネズミ;黒い霧
黒い九月;くろいくがつ;Black September (Palestinian extremist group responsible for the massacre of Israeli athletes at the Munich Olympics);n;0;;;;;;;;;;;
頭の黒いネズミ;あたまのくろいネズミ;person who steals money from the workplace;exp, n;0;;;;;;;;;;;
黒い霧;くろいきり;thick fog (of suspicion);exp, n;0;;;;;;;;;;;
警官;けいかん;police officer;n;5;Are you cops?;<ruby>警官<rt>けいかん</rt></ruby>なの？;police officer, policeman, constable;n;;;;;警官隊;武装警官;婦人警官
警官隊;けいかんたい;(squad of) police;n;0;;;;;;;;;;;
武装警官;ぶそうけいかん;armed police;n;0;;;;;;;;;;;
婦人警官;ふじんけいかん;policewoman;n;0;;;;;;;;;;;
今朝;けさ;this morning;n, adv;5;Did you see the rainbow this morning?;<ruby>今朝<rt>けさ</rt></ruby>の<ruby>虹<rt>にじ</rt></ruby>みた？;this morning;n, adv;;;;;今朝方;;
今朝方;けさがた;this morning;n, adv;0;;;;;;;;;;;
消す;けす;to erase, to delete, to turn off power;v5s, vt;5;Don't turn off the light.;<ruby>電気<rt>でんき</rt></ruby>を<ruby>消<rt>け</rt></ruby>すな。;to erase, to rub out, to rub off, to cross out, to delete;v5s, vt;to turn off (a light, TV, heater, etc.), to switch off;v5s, vt;to extinguish (a fire, candle, etc.), to put out;v5s, vt;もみ消す;かき消す;消する
もみ消す;もみけす;to stub out (e.g. a cigarette);v5s, vt;0;;;;;;;;;;;
かき消す;かきけす;to erase;v5s, vt;0;;;;;;;;;;;
消する;しょうする;to disappear;vs-s, vi;0;;;;;;;;;;;
結構;けっこう;splendid, enough, tolerably;adj-na;5;It's fine.;<ruby>結構<rt>けっこう</rt></ruby>です。;splendid, nice, wonderful, delightful, lovely, excellent, fine;adj-na;sufficient, satisfactory, enough, fine, all right, OK;adj-na;"not needing (any more of something), (already) having enough, fine (as in ""I'm fine""), no, thank you";adj-na;結構大変;結構人;結構者
結構大変;けっこうたいへん;quite a chore;exp;0;;;;;;;;;;;
結構人;けっこうじん;nice person;n;0;;;;;;;;;;;
結構者;けっこうしゃ;nice person;n;0;;;;;;;;;;;
結婚;けっこん (する);marriage (get married);n, vs, vi;5;Why don't we get married?;<ruby>結婚<rt>けっこん</rt></ruby>しない？;marriage;n, vs, vi;;;;;結婚祝い;結婚式;結婚相手
結婚祝い;けっこんいわい;wedding present;n;0;;;;;;;;;;;
結婚式;けっこんしき;marriage ceremony;n;0;;;;;;;;;;;
結婚相手;けっこんあいて;marriage partner;n;0;;;;;;;;;;;
月曜日;げつようび;Monday;n, adv;5;Is Monday OK?;<ruby>月曜日<rt>げつようび</rt></ruby>でいい？;Monday;n, adv;;;;;;;
玄関;げんかん;entrance (to a house or a building);n;5;There's someone at the door.;<ruby>玄関<rt>げんかん</rt></ruby>に<ruby>誰<rt>だれ</rt></ruby>かいるよ。;entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room;n;;;;;玄関先;玄関番;玄関払い
玄関先;げんかんさき;entrance;n;0;;;;;;;;;;;
玄関番;げんかんばん;doorkeeper;n;0;;;;;;;;;;;
玄関払い;げんかんばらい;refusing to see a visitor;n;0;;;;;;;;;;;
元気;げんき;health(y), energetic;adj-na, n;5;Take care.;<ruby>元気<rt>げんき</rt></ruby>でね！;lively, full of spirit, energetic, vigorous, vital, spirited;adj-na, n;healthy, well, fit, in good health;adj-na, n;;;元気者;元気はつらつ;元気づける
元気者;げんきもの;lively person;n;0;;;;;;;;;;;
元気はつらつ;げんきはつらつ;full of energy;n, adj-na;0;;;;;;;;;;;
元気づける;げんきづける;to pep up;v1, vt;0;;;;;;;;;;;
～個;～こ;counter for small items (e.g., fruits, cups);ctr;5;How many apples do you want?;<ruby>リンゴ<rt>りんご</rt></ruby>、<ruby>何個<rt>なんこ</rt></ruby>いる？;counter for (small) things or pieces;ctr;counter for military units;ctr;(an) individual, one person;n;個々別々;一個あたり;個々
個々別々;ここべつべつ;each one separately;n;0;;;;;;;;;;;
一個あたり;いっこあたり;each;n;0;;;;;;;;;;;
個々;ここ;individual;n, adj-no;0;;;;;;;;;;;
五;ご;five;num;5;Do you have five dollars?;<ruby>五<rt>ご</rt></ruby><ruby>ドル<rt>どる</rt></ruby>ある？;five, 5;num;;;;;五箇年;五目寿司;五目ごはん
五箇年;ごかねん;quinquennial;adj-f;0;;;;;;;;;;;
五目寿司;ごもくずし;sushi rice mixed with various ingredients (vegetables, fish, etc.);n;0;;;;;;;;;;;
五目ごはん;ごもくごはん;casserole of rice, fish or meat, and vegetables;n;0;;;;;;;;;;;
～語;～ご;word, language;n, n-suf, ctr;5;Speak English.;<ruby>英語<rt>えいご</rt></ruby>で<ruby>話<rt>はな</rt></ruby>せ！;word, term;n, n-suf, ctr;language;n, n-suf;speech;n;語呂合わせ;二ヶ国語;語り部
語呂合わせ;ごろあわせ;wordplay;n;0;;;;;;;;;;;
二ヶ国語;にかこくご;bilingual;adj-no;0;;;;;;;;;;;
語り部;かたりべ;(professional) storyteller;n;0;;;;;;;;;;;
公園;こうえん;a park;n;5;Can we meet at the park?;<ruby>公園<rt>こうえん</rt></ruby>で<ruby>会<rt>あ</rt></ruby>えない？;(public) park;n;;;;;公園デビュー;公園墓地;公園課
公園デビュー;こうえんデビュー;bringing one's child to the local park to play for the first time;n;0;;;;;;;;;;;
公園墓地;こうえんぼち;garden cemetery;n;0;;;;;;;;;;;
公園課;こうえんか;parks section (e.g. of a city administration);n;0;;;;;;;;;;;
交差点;こうさてん;intersection;n;5;There was an accident at the intersection.;<ruby>交差点<rt>こうさてん</rt></ruby>で<ruby>事故<rt>じこ</rt></ruby>があった。;crossing, intersection;n;;;;;スクランブル交差点;円形交差点;環状交差点
スクランブル交差点;スクランブルこうさてん;scramble intersection;n;0;;;;;;;;;;;
円形交差点;えんけいこうさてん;roundabout;n;0;;;;;;;;;;;
環状交差点;かんじょうこうさてん;roundabout;n;0;;;;;;;;;;;
紅茶;こうちゃ;black tea;n;5;How about some tea?;<ruby>紅茶<rt>こうちゃ</rt></ruby>はいかが？;black tea;n;;;;;紅茶キノコ;紅茶道具一式;ロシア紅茶
紅茶キノコ;こうちゃキノコ;kombucha;n;0;;;;;;;;;;;
紅茶道具一式;こうちゃどうぐいっしき;tea set;n;0;;;;;;;;;;;
ロシア紅茶;ロシアこうちゃ;tea flavoured with jam;n;0;;;;;;;;;;;
交番;こうばん;police box;n;5;A police station is close at hand.;<ruby>交番<rt>こうばん</rt></ruby>が<ruby>近<rt>ちか</rt></ruby>くにある。;police box, koban, small neighborhood police station;n;alternation;n;alternating (current, stress, etc.);adj-f;交番電流;交番応力;交番所
交番電流;こうばんでんりゅう;alternating current;n;0;;;;;;;;;;;
交番応力;こうばんおうりょく;alternating stress;n;0;;;;;;;;;;;
交番所;こうばんしょ;police box;n;0;;;;;;;;;;;
声;こえ;voice;n;5;You are talking through the nose.;<ruby>鼻声<rt>はなごえ</rt></ruby>だね。;voice;n;singing (of a bird), chirping (of an insect), hoot;n;voice, opinion (as expressed in words), view, wish, attitude, will;n;声を呑む;声がかり;声が枯れる
声を呑む;こえをのむ;to choke up;exp, v5m;0;;;;;;;;;;;
声がかり;こえがかり;recommendation of an influential person;n;0;;;;;;;;;;;
声が枯れる;こえがかれる;to become hoarse;exp, v1;0;;;;;;;;;;;
コート;コート;coat, court (e.g., tennis);n;5;Why don't you take off your coat?;<ruby>コート<rt>こーと</rt></ruby><ruby>脱<rt>ぬ</rt></ruby>いだら？;coat;n;coating;n;;;コートジボワール;コートデュローヌ;コートチェンジ
コートジボワール;コートジボワール;Côte d'Ivoire;n;0;;;;;;;;;;;
コートデュローヌ;コートデュローヌ;Côtes du Rhône (wine);n;0;;;;;;;;;;;
コートチェンジ;コートチェンジ;changing ends (in tennis, volleyball, etc.);n;0;;;;;;;;;;;
コーヒー;コーヒー;coffee;n;5;Did you get coffee?;<ruby>コーヒー<rt>こーひー</rt></ruby><ruby>買<rt>か</rt></ruby>った？;coffee;n;;;;;コーヒーブレーク;コーヒーメーカー;コーヒー沸かし
コーヒーブレーク;コーヒーブレーク;coffee break;n;0;;;;;;;;;;;
コーヒーメーカー;コーヒーメーカー;coffee maker;n;0;;;;;;;;;;;
コーヒー沸かし;コーヒーわかし;coffee pot;n;0;;;;;;;;;;;
ここ;ここ;here, this place;pn;5;Here.;ここ。;here, this place;pn;this point, here, now;pn;these past ... (e.g. three years), these last ...;pn;ここで会ったが百年目;心躍る;心ここにあらず
ここで会ったが百年目;ここであったがひゃくねんめ;at last your time has come;exp;0;;;;;;;;;;;
心躍る;こころおどる;to be thrilled;v5r, vi;0;;;;;;;;;;;
心ここにあらず;こころここにあらず;there in body, but not in spirit;exp;0;;;;;;;;;;;
午後;ごご;afternoon, P.M.;n, adv;5;It's eight o'clock at night.;<ruby>午後<rt>ごご</rt></ruby><ruby>八<rt>はち</rt></ruby><ruby>時<rt>とき</rt></ruby>です。;afternoon, p.m.;n, adv;;;;;午後一;午後中;午後零時
午後一;ごごいち;first thing in the afternoon;n, adv;0;;;;;;;;;;;
午後中;ごごじゅう;throughout the afternoon;n;0;;;;;;;;;;;
午後零時;ごごれいじ;noon;n;0;;;;;;;;;;;
九日;ここのか;nine days, ninth day of the month;n;5;We will be conducting an inspection on your stomach tomorrow morning at nine, so please do not ingest anything for twelve hours beforehand.;<ruby>明日<rt>あした</rt></ruby>の<ruby>朝<rt>あさ</rt></ruby><ruby>九時<rt>くじ</rt></ruby>から<ruby>胃<rt>い</rt></ruby>の<ruby>検査<rt>けんさ</rt></ruby>を<ruby>行<rt>おこな</rt></ruby>いますので、<ruby>前日<rt>ぜんじつ</rt></ruby>の<ruby>夜<rt>よる</rt></ruby><ruby>九時<rt>くじ</rt></ruby><ruby>以降<rt>いこう</rt></ruby>は<ruby>何<rt>なに</rt></ruby>も<ruby>飲<rt>の</rt></ruby>んだり<ruby>食<rt>た</rt></ruby>べたりしないでください。;9th day of the month;n;nine days;n;;;１９日;２９日;四十九日
１９日;じゅうくにち;19th day of the month;n;0;;;;;;;;;;;
２９日;にじゅうくにち;29th day of the month;n;0;;;;;;;;;;;
四十九日;しじゅうくにち;forty-ninth day after a person's death;n;0;;;;;;;;;;;
九つ;ここのつ;nine things;num;5;Shinji ate nine coconuts.;<ruby>新二<rt>しんじ</rt></ruby>は<ruby>九<rt>ここの</rt></ruby>つの<ruby>ココナッツ<rt>ここなっつ</rt></ruby>を<ruby>食<rt>た</rt></ruby>べました。;nine;num;nine years of age;n;twelve o'clock (old time system);n;九つ時;;
九つ時;ここのつどき;(approx.) twelve o'clock (am or pm, old time system);n;0;;;;;;;;;;;
午前;ごぜん;morning, A.M.;n, adv;5;It’s 8:00 am.;<ruby>午前<rt>ごぜん</rt></ruby>８<ruby>時<rt>とき</rt></ruby>です。;morning, a.m.;n, adv;;;;;午前中;午前様;午前零時
午前中;ごぜんちゅう;in the morning;n;0;;;;;;;;;;;
午前様;ごぜんさま;coming home after midnight;exp, n;0;;;;;;;;;;;
午前零時;ごぜんれいじ;midnight;n;0;;;;;;;;;;;
答える;こたえる;to answer, to reply;v1, vi;5;Do not answer hastily.;<ruby>軽率<rt>けいそつ</rt></ruby>に<ruby>答<rt>こた</rt></ruby>えるな。;to answer, to reply;v1, vi;;;;;質問に答える;;
質問に答える;しつもんにこたえる;to answer a question;exp, v1;0;;;;;;;;;;;
こちら;こちら;this person (polite), this way (polite);pn;5;The pleasure is mine.;こちらこそ。;this way, this direction;pn;here;pn;this (one);pn;こちらの話;こちら持ち;こちらこそ
こちらの話;こちらのはなし;matter being discussed (e.g. in a private conversation);exp;0;;;;;;;;;;;
こちら持ち;こちらもち;covering the costs oneself;exp, n;0;;;;;;;;;;;
こちらこそ;こちらこそ;it is I who should say so;exp;0;;;;;;;;;;;
こっち;こっち;this person, this direction, this side;pn;5;Hurry this way!;こっちへ<ruby>急<rt>いそ</rt></ruby>げ！;this way, this direction;pn;here;pn;this (one);pn;こっちの話;こっちの物;知ったこっちゃない
こっちの話;こっちのはなし;matter being discussed (e.g. in a private conversation);exp;0;;;;;;;;;;;
こっちの物;こっちのもの;mine (ours) for the taking;exp, n;0;;;;;;;;;;;
知ったこっちゃない;しったこっちゃない;I don't give a damn;exp, adj-i;0;;;;;;;;;;;
コップ;コップ;a tumbler, a glass;n;5;Whose glass is this?;この<ruby>コップ<rt>こっぷ</rt></ruby><ruby>誰<rt>だれ</rt></ruby>の？;glass (drinking vessel), tumbler;n;cups (suit);n;;;コップの中の嵐;コップ酒;コップ座
コップの中の嵐;コップのなかのあらし;storm in a teacup;exp, n;0;;;;;;;;;;;
コップ酒;コップざけ;sake in a tumbler;n;0;;;;;;;;;;;
コップ座;コップざ;Crater (constellation);n;0;;;;;;;;;;;
今年;ことし;this year;n, adv;5;This winter has been mild.;<ruby>今年<rt>こんねん</rt></ruby>は<ruby>暖冬<rt>だんとう</rt></ruby>だね。;this year;n, adv;;;;;今年度;今年中に;今年初
今年度;こんねんど;this year;n, adv;0;;;;;;;;;;;
今年中に;ことしじゅうに;by the end of this year;exp, adv;0;;;;;;;;;;;
今年初;ことしはつ;(for the) first time this year;n, adj-no;0;;;;;;;;;;;
言葉;ことば;language, word(s), expression(s);n;5;Password?;<ruby>合言葉<rt>あいことば</rt></ruby>は？;language, dialect;n;word, phrase, expression, term;n;speech, (manner of) speaking, (use of) language;n;言葉遣い;言葉を呑む;言葉のあや
言葉遣い;ことばづかい;speech;n;0;;;;;;;;;;;
言葉を呑む;ことばをのむ;to choke up;exp, v5m;0;;;;;;;;;;;
言葉のあや;ことばのあや;figure of speech;exp, n;0;;;;;;;;;;;
子供;こども;child(ren);n;5;Do you like kids?;<ruby>子供<rt>こども</rt></ruby><ruby>好<rt>す</rt></ruby>き？;child, children;n;;;;;子供たち;子供の頃;子供じみた
子供たち;こどもたち;children;n;0;;;;;;;;;;;
子供の頃;こどものころ;(time of) one's childhood;exp, n, adv;0;;;;;;;;;;;
子供じみた;こどもじみた;childish;adj-f;0;;;;;;;;;;;
この;この;this;num;5;Coward!;この<ruby>弱虫<rt>よわむし</rt></ruby>！;nine, 9;num;;;;;この期に及んで;この内;この上ない
この期に及んで;このごにおよんで;at this point;exp;0;;;;;;;;;;;
この内;このうち;among these;exp;0;;;;;;;;;;;
この上ない;このうえない;the most;exp, adj-i;0;;;;;;;;;;;
御飯;ごはん;rice (cooked), meal;n;5;Dinner is ready.;<ruby>夕御飯<rt>ゆうごはん</rt></ruby>ができました。;cooked rice;n;meal;n;;;ご飯時;御飯蒸し;おまんまの食い上げ
ご飯時;ごはんどき;mealtime;n;0;;;;;;;;;;;
御飯蒸し;ごはんむし;a rice steamer;n;0;;;;;;;;;;;
おまんまの食い上げ;おまんまのくいあげ;losing one's means of livelihood;exp, n;0;;;;;;;;;;;
コピーする;コピーする;to copy;Noun, Suru verb, Transitive verb;5;Put a tag on the pages you want copied.;<ruby>コピー<rt>こぴー</rt></ruby>する<ruby>ページ<rt>ぺーじ</rt></ruby>に<ruby>付箋<rt>ふせん</rt></ruby>をつけておいてください。;copy, photocopy;Noun, Suru verb, Transitive verb;book jacket blurb;Noun;(advertising) slogan;Noun;;;
困る;こまる;to be bothered, to have difficulty;v5r, vi;5;I need my cane.;<ruby>杖<rt>つえ</rt></ruby>がないと<ruby>困<rt>こま</rt></ruby>る。;to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed;v5r, vi;to be bothered, to be inconvenienced, to be annoyed;v5r, vi;to be badly off, to be hard up, to be in straitened circumstances;v5r, vi;生活に困る;返答に困る;
生活に困る;せいかつにこまる;to live in want;exp, v5r;0;;;;;;;;;;;
返答に困る;へんとうにこまる;to not know how to respond;exp, v5r;0;;;;;;;;;;;
これ;これ;this one;pn;5;Is this strange?;これ<ruby>変<rt>へん</rt></ruby>？;this, this one;pn;this person;pn;now, this point (in time);pn;これを機に;これに懲りよ道才坊;これもまた過ぎ去る
