kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
いくら;いくら;how much, how many;n;5;How much for half a kilo?;500gいくら？;salted salmon roe;n;;;;;いくら何でも;負けないくらい;一山いくら
いくら何でも;いくらなんでも;no matter how you put it;exp;0;;;;;;;;;;;
負けないくらい;まけないくらい;as much as possible;exp, n, adv;0;;;;;;;;;;;
一山いくら;ひとやまいくら;dirt cheap;adj-no, n;0;;;;;;;;;;;
池;いけ;pond;n;5;;;pond;n;;;;;池谷・関彗星;池塘;溜池
池谷・関彗星;いけやせきすいせい;Comet Ikeya-Seki;n;0;;;;;;;;;;;
池塘;ちとう;bank (of a pond);n;0;;;;;;;;;;;
溜池;ためいけ;reservoir;n;0;;;;;;;;;;;
医者;いしゃ;doctor, physician;n;5;He is a doctor.;<ruby>彼<rt>かれ</rt></ruby>は<ruby>医者<rt>いしゃ</rt></ruby>だ。;doctor, physician;n;;;;;医者に掛ける;医者に掛かる;筍医者
医者に掛ける;いしゃにかける;to entrust to a doctor (for treatment);exp, v1;0;;;;;;;;;;;
医者に掛かる;いしゃにかかる;to consult a doctor;exp, v5r;0;;;;;;;;;;;
筍医者;たけのこいしゃ;young, inexperienced doctor;n;0;;;;;;;;;;;
椅子;いす;chair;n;5;I love this chair.;この<ruby>椅子<rt>いす</rt></ruby><ruby>大好<rt>だいす</rt></ruby>き。;chair, seat, stool, bench;n;post, position, seat, office;n;;;肘掛け椅子;椅子取りゲーム;スケベ椅子
肘掛け椅子;ひじかけいす;armchair;n;0;;;;;;;;;;;
椅子取りゲーム;いすとりゲーム;musical chairs;n;0;;;;;;;;;;;
スケベ椅子;スケベいす;shower stool with a u-shaped hole in the middle;n;0;;;;;;;;;;;
忙しい;いそがしい;busy (people, days);adj-i;5;Are you still busy?;まだ<ruby>忙<rt>いそが</rt></ruby>しい？;busy, occupied, hectic;adj-i;restless, hurried, fidgety;adj-i;;;気ぜわしい;心忙しい;
気ぜわしい;きぜわしい;restless;adj-i;0;;;;;;;;;;;
